,Unnamed: 0,URL,Price,Dimensions,Disposition,Location,City,Street
133,137,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-zlin-slezska/2275865164,19000,73,3+1,"Slezská, Zlín",Zlín,Slezská
134,138,https://www.sreality.cz//detail/pronajem/byt/1+1/zlin-zlin-smetanova/20378188,13000,45,1+1,"Smetanova, Zlín",Zlín,Smetanova
135,139,https://www.sreality.cz//detail/pronajem/byt/1+kk/luhacovice-luhacovice-/2214654540,11000,33,1+kk,Luhačovice,,Luhačovice
136,140,https://www.sreality.cz//detail/pronajem/byt/2+kk/frystak-horni-ves-komenskeho/964424268,14000,57,2+kk,"Komenského, Fryšták - Horní Ves",Fryšták - Horní Ves,Komenského
137,141,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-louky-/182441292,12500,45,2+kk,Zlín - Louky,,Zlín - Louky
138,142,https://www.sreality.cz//detail/pronajem/byt/2+kk/luhacovice-luhacovice-nadrazni/532079948,23000,120,2+kk,"Nádražní, Luhačovice",Luhačovice,Nádražní
139,143,https://www.sreality.cz//detail/pronajem/byt/2+kk/otrokovice-kvitkovice-pricna/156140108,13700,45,2+kk,"Příčná, Otrokovice - Kvítkovice",Otrokovice - Kvítkovice,Příčná
140,145,https://www.sreality.cz//detail/pronajem/byt/1+1/rackova-rackova-/1342734924,12000,40,1+1,Racková,,Racková
141,146,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-bartosova/1606193740,20000,58,2+kk,"Bartošova, Zlín",Zlín,Bartošova
142,147,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-zlin-sadova/670573132,13500,40,1+kk,"Sadová, Zlín",Zlín,Sadová
143,148,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-tyrsovo-nabrezi/2091799884,18000,49,2+kk,"Tyršovo nábřeží, Zlín",Zlín,Tyršovo nábřeží
144,149,https://www.sreality.cz//detail/pronajem/byt/4+1/zlin-zlin-na-honech-ii/3934757452,19000,79,4+1,"Na Honech II, Zlín",Zlín,Na Honech II
145,150,https://www.sreality.cz//detail/pronajem/byt/4+kk/luhacovice-luhacovice-/826365260,39900,100,4+kk,Luhačovice,,Luhačovice
146,151,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-jaroslavice-v-doline/3725157708,9000,40,2+kk,"V Dolině, Zlín - Jaroslavice",Zlín - Jaroslavice,V Dolině
147,152,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-louky-k-luham/1516360780,14900,47,2+kk,"K Luhám, Zlín - Louky",Zlín - Louky,K Luhám
